Date,Close,High,Low,Open,Volume
13-05-16,51307.52734,53342.539835797645,51001.37502193752,53342.539835797645,664000
16-05-16,51289.50781,51289.50781,50641.18538228581,51001.36451018258,566900
17-05-16,52586.16016,52874.30349957192,51721.73012628425,51865.801797945205,496100
18-05-16,51865.80078,53018.374131944445,51253.49618869358,52658.19495985243,1094400
19-05-16,51145.44141,51865.79973591549,50731.235366692345,51685.710153499116,367100
20-05-16,52243.98828,53378.552659643225,50425.08348,50641.190984789726,470700
23-05-16,53252.49219,53594.66241,51829.784415158945,51901.820251733174,409600
24-05-16,51253.49609,53234.48153658644,51253.49609,52081.90818802706,375400
25-05-16,51145.44141,52009.87140184859,50497.118909551056,51505.62057108275,1199100
26-05-16,50425.07813,51145.43638392857,50118.92586495536,51145.43638392857,834600
27-05-16,51379.55859,51487.612344735804,50785.262963328074,50875.30775581625,848300
30-05-16,50425.07813,51505.615513392855,50407.06916852679,51379.55281808036,689700
31-05-16,49848.79688,50677.20896179552,49326.53708115065,50425.08354407515,2449800
01-06-16,49704.72656,50749.24617866848,49200.47571331522,49200.47571331522,579200
02-06-16,49722.73047,50641.187279291924,49632.68568340275,50407.07083738908,781400
03-06-16,50118.93359,50533.13965650826,49848.79920499461,49848.79920499461,750500
06-06-16,50425.07813,50713.22142857143,50154.94377790178,50299.01543,551800
07-06-16,50677.20313,50713.22104,50425.07773631841,50713.22104,922500
08-06-16,50100.92578,50857.30208707764,49560.656991373115,50785.26624842739,914100
09-06-16,49074.41406,49920.835149082566,49038.396143922015,49704.72763761468,609300
10-06-16,48678.21875,49398.57714807621,48534.14707038476,49074.41586894191,1439600
13-06-16,48912.33594,49416.58682345361,48516.138812822166,48768.26425579897,686900
14-06-16,49002.37109,49866.801013816155,48984.36213708196,48984.36213708196,1142300
15-06-16,46355.05469,48840.290719696975,46120.93824968435,48840.290719696975,3524900
16-06-16,45634.69922,46355.05753317384,45436.600682283446,46355.05753317384,1534700
